Travel Period,Pax,Total Market Pax,Pax Share %,Blended Fare,Blended Rev,Revenue Share %,RPK,Blended Yield
2023-05,262790,262790,0.9964,247,64935231,0.9941,809249806,0.080241
2023-06,253309,253309,0.9952,306,77566662,0.9934,842674577,0.092048
2023-07,280142,280142,0.9965,332,93011196,0.9956,939841662,0.098965
2023-08,267823,267823,0.9961,215,57494685,0.9919,804223372,0.071491
2023-09,265680,265680,0.9962,197,52324728,0.9915,798127289,0.065559
2023-10,266716,266716,0.9967,185,49242178,0.9920,820132370,0.060042
2023-11,247339,247339,0.9974,179,44390614,0.9939,768918063,0.057731
2023-12,290906,290906,0.9973,186,53981808,0.9937,880920992,0.061279
2024-01,281745,281745,0.9967,186,52289016,0.9921,862034194,0.060658
2024-02,292204,292204,0.9965,179,52371488,0.9914,860732060,0.060845
2024-03,274482,274482,0.9966,195,53572834,0.9929,860137819,0.062284
2024-04,273195,273195,0.9966,190,52019759,0.9926,836697626,0.062173
2024-05,263838,263838,0.9956,256,67660869,0.9931,903351311,0.074900
2024-06,249329,249329,0.9958,252,62869039,0.9922,838097185,0.075014
2024-07,274967,274967,0.9963,261,71727572,0.9936,960830705,0.074652
2024-08,266304,266304,0.9960,195,52000070,0.9897,875715848,0.059380
2024-09,246755,246755,0.9953,185,45618883,0.9900,799895619,0.057031
2024-10,264605,264605,0.9959,181,47988269,0.9895,883938645,0.054289
2024-11,261281,261281,0.9969,191,50028407,0.9920,893252396,0.056007
2024-12,318779,318779,0.9977,195,62179621,0.9935,1018259988,0.061065
2025-01,330340,330340,0.9969,202,66892457,0.9913,1075066065,0.062222
2025-02,294761,294761,0.9970,194,57256641,0.9929,938154611,0.061031
2025-03,252814,252814,0.9967,211,53467332,0.9933,891820234,0.059953
2025-04,274852,274852,0.9973,199,54565166,0.9936,905393054,0.060267
2025-05,259730,259730,0.9949,249,64564533,0.9920,902330943,0.071553
2025-06,243105,243105,0.9952,239,58082874,0.9918,801159070,0.072499
2025-07,270131,270131,0.9947,228,61713139,0.9902,952795299,0.064771
